Date,Price
"Dec 06, 2010",2.917
"Dec 13, 2010",2.937
"Dec 20, 2010",2.934
"Dec 27, 2010",3.015
"Jan 03, 2011",3.034
"Jan 10, 2011",3.052
"Jan 17, 2011",3.068
"Jan 24, 2011",3.074
"Jan 31, 2011",3.061
"Feb 07, 2011",3.094
"Feb 14, 2011",3.095
"Feb 21, 2011",3.141
"Feb 28, 2011",3.341
"Mar 07, 2011",3.473
"Mar 14, 2011",3.517
"Mar 21, 2011",3.507
"Mar 28, 2011",3.538
"Apr 04, 2011",3.635
"Apr 11, 2011",3.743
"Apr 18, 2011",3.787
"Apr 25, 2011",3.817
"May 02, 2011",3.906
"May 09, 2011",3.907
"May 16, 2011",3.905
"May 23, 2011",3.788
"May 30, 2011",3.741
"Jun 06, 2011",3.738
"Jun 13, 2011",3.664
"Jun 20, 2011",3.597
"Jun 27, 2011",3.513
"Jul 04, 2011",3.534
"Jul 11, 2011",3.608
"Jul 18, 2011",3.648
"Jul 25, 2011",3.667
"Aug 01, 2011",3.684
"Aug 08, 2011",3.646
"Aug 15, 2011",3.576
"Aug 22, 2011",3.552
"Aug 29, 2011",3.601
"Sep 05, 2011",3.643
"Sep 12, 2011",3.629
"Sep 19, 2011",3.56
"Sep 26, 2011",3.461
"Oct 03, 2011",3.381
"Oct 10, 2011",3.368
"Oct 17, 2011",3.431
"Oct 24, 2011",3.415
"Oct 31, 2011",3.405
"Nov 07, 2011",3.37
"Nov 14, 2011",3.388
"Nov 21, 2011",3.312
"Nov 28, 2011",3.248
"Dec 05, 2011",3.24
"Dec 12, 2011",3.244
"Dec 19, 2011",3.183
"Dec 26, 2011",3.213
"Jan 02, 2012",3.254
"Jan 09, 2012",3.333
"Jan 16, 2012",3.342
"Jan 23, 2012",3.333
"Jan 30, 2012",3.386
"Feb 06, 2012",3.436
"Feb 13, 2012",3.466
"Feb 20, 2012",3.523
"Feb 27, 2012",3.641
"Mar 05, 2012",3.717
"Mar 12, 2012",3.747
"Mar 19, 2012",3.787
"Mar 26, 2012",3.843
"Apr 02, 2012",3.874
"Apr 09, 2012",3.877
"Apr 16, 2012",3.867
"Apr 23, 2012",3.805
"Apr 30, 2012",3.764
"May 07, 2012",3.718
"May 14, 2012",3.658
"May 21, 2012",3.622
"May 28, 2012",3.575
"Jun 04, 2012",3.518
"Jun 11, 2012",3.489
"Jun 18, 2012",3.473
"Jun 25, 2012",3.378
"Jul 02, 2012",3.291
"Jul 09, 2012",3.357
"Jul 16, 2012",3.364
"Jul 23, 2012",3.435
"Jul 30, 2012",3.45
"Aug 06, 2012",3.606
"Aug 13, 2012",3.662
"Aug 20, 2012",3.682
"Aug 27, 2012",3.722
"Sep 03, 2012",3.797
"Sep 10, 2012",3.799
"Sep 17, 2012",3.832
"Sep 24, 2012",3.775
"Oct 01, 2012",3.75
